,Number,submitted,updated,category,males,females,id,title,abstract
2642,10425,2019-04-08,2019-04-08,physics,2.0,1.0,1904.04061v1,Transferring Knowledge Fragments for Learning Distance Metric from A   Heterogeneous Domain,"The goal of transfer learning is to improve the performance of target learning task by leveraging information (or transferring knowledge) from other related tasks. In this paper, we examine the problem of transfer distance metric learning (DML), which usually aims to mitigate the label information deficiency issue in the target DML. Most of the current Transfer DML (TDML) methods are not applicable to the scenario where data are drawn from heterogeneous domains. Some existing heterogeneous transfer learning (HTL) approaches can learn target distance metric by usually transforming the samples of source and target domain into a common subspace. However, these approaches lack flexibility in real-world applications, and the learned transformations are often restricted to be linear. This motivates us to develop a general flexible heterogeneous TDML (HTDML) framework. In particular, any (linear/nonlinear) DML algorithms can be employed to learn the source metric beforehand. Then the pre-learned source metric is represented as a set of knowledge fragments to help target metric learning. We show how generalization error in the target domain could be reduced using the proposed transfer strategy, and develop novel algorithm to learn either linear or nonlinear target metric. Extensive experiments on various applications demonstrate the effectiveness of the proposed method."
2645,10434,2019-04-08,2019-04-08,physics,3.0,1.0,1904.04080v2,Multicolour chain avoidance in the boolean lattice,"Given a collection of colored chain posets, we estimate the number of colored subsets of the boolean lattice which avoid all chains in the collection."
2658,10469,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04113v1,Thermodynamic coupling rule for far-from-equilibrium systems,"The energy conversion efficiency of far-from-equilibrium systems is generally limited by irreversible thermodynamic fluxes that make contact with different heat baths. For complex systems, the states of the maximum efficiency and the minimum entropy production are usually not equivalent. Here we show that the proper adjustments of the interaction between the energy and matter currents offer some important criteria for the performance characterizations of thermal agents, regardless of the system types and transition protocols. The universal thermodynamic coupling rule plays a critical role in irreversible processes. A double quantum dot system is applied to demonstrate that the performances of heat engines or refrigrators can be enhanced by suitably adjusting the coupling strength between thermodynamic fluxes."
2661,10474,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04122v1,Ab initio and nuclear inelastic scattering studies of Fe$_3$Si/GaAs   heterostructures,"The structure and dynamical properties of the Fe$_3$Si/GaAs(001) interface are investigated by density functional theory and nuclear inelastic scattering measurements. The stability of four different atomic configurations of the Fe$_3$Si/GaAs multilayers is analyzed by calculating the formation energies and phonon dispersion curves. The differences in charge density, magnetization, and electronic density of states between the configurations are examined. Our calculations unveil that magnetic moments of the Fe atoms tend to align in a plane parallel to the interface, along the [110] direction of the Fe$_3$Si crystallographic unit cell. In some configurations, the spin polarization of interface layers is larger than that of bulk Fe$_3$Si. The effect of the interface on element-specific and layer-resolved phonon density of states is discussed. The Fe-partial phonon density of states measured for the Fe$_3$Si layer thickness of three monolayers is compared with theoretical results obtained for each interface atomic configuration. The best agreement is found for one of the configurations with a mixed Fe-Si interface layer, which reproduces the anomalous enhancement of the phonon density of states below 10 meV"
2663,10484,2019-04-08,2019-04-08,physics,4.0,1.0,1904.04130v1,Results on heavy ion physics at LHCb,"In the last years, the \lhcb experiment established itself as an important contributor to heavy ion physics by exploiting some of its specific features. Production of particles, notably heavy flavour states, can be studied in p-p, p-Pb and Pb-Pb collisions at LHC energies in the forward rapidity region (pseudorapidity between 2 and 5), providing measurements which are highly complementary to the other LHC experiments. Moreover, owing to its forward geometry, the detector is also well suited to study fixed-target collisions, obtained by impinging the LHC beams on gas targets with different mass numbers. In this configuration, p-A collisions can be studied at the relatively unexplored scale of sqrt(sNN) ~ 100 GeV, also providing valuable inputs to cosmic ray physics. An overview of the measurements obtained so far by the LHCb ion program is presented."
2668,10509,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04154v1,Bayesian Neural Networks at Finite Temperature,"We recapitulate the Bayesian formulation of neural network based classifiers and show that, while sampling from the posterior does indeed lead to better generalisation than is obtained by standard optimisation of the cost function, even better performance can in general be achieved by sampling finite temperature ($T$) distributions derived from the posterior. Taking the example of two different deep (3 hidden layers) classifiers for MNIST data, we find quite different $T$ values to be appropriate in each case. In particular, for a typical neural network classifier a clear minimum of the test error is observed at $T>0$. This suggests an early stopping criterion for full batch simulated annealing: cool until the average validation error starts to increase, then revert to the parameters with the lowest validation error. As $T$ is increased classifiers transition from accurate classifiers to classifiers that have higher training error than assigning equal probability to each class. Efficient studies of these temperature-induced effects are enabled using a replica-exchange Hamiltonian Monte Carlo simulation technique. Finally, we show how thermodynamic integration can be used to perform model selection for deep neural networks. Similar to the Laplace approximation, this approach assumes that the posterior is dominated by a single mode. Crucially, however, no assumption is made about the shape of that mode and it is not required to precisely compute and invert the Hessian."
2677,10543,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04189v1,Unsupervised learning of action classes with continuous temporal   embedding,"The task of temporally detecting and segmenting actions in untrimmed videos has seen an increased attention recently. One problem in this context arises from the need to define and label action boundaries to create annotations for training which is very time and cost intensive. To address this issue, we propose an unsupervised approach for learning action classes from untrimmed video sequences. To this end, we use a continuous temporal embedding of framewise features to benefit from the sequential nature of activities. Based on the latent space created by the embedding, we identify clusters of temporal segments across all videos that correspond to semantic meaningful action classes. The approach is evaluated on three challenging datasets, namely the Breakfast dataset, YouTube Instructions, and the 50Salads dataset. While previous works assumed that the videos contain the same high level activity, we furthermore show that the proposed approach can also be applied to a more general setting where the content of the videos is unknown."
2678,10544,2019-04-08,2019-04-08,physics,31.0,2.0,1904.04190v1,Kelley-Morse set theory does not prove the class Fodor principle,"We show that Kelley-Morse set theory does not prove the class Fodor principle, the assertion that every regressive class function $F:S\to\text{Ord}$ defined on a stationary class $S$ is constant on a stationary subclass. Indeed, it is relatively consistent with KM for any infinite $\lambda$ with $\omega\leq\lambda\leq\text{Ord}$ that there is a class function $F:\text{Ord}\to\lambda$ that is not constant on any stationary class. Strikingly, it is consistent with KM that there is a class $A\subseteq\omega\times\text{Ord}$, such that each section $A_n=\{\alpha\mid (n,\alpha)\in A\}$ contains a class club, but $\bigcap_n A_n$ is empty. Consequently, it is relatively consistent with KM that the class club filter is not $\sigma$-closed."
2687,10594,2019-04-08,2019-04-08,physics,1.0,2.0,1904.04263v1,The composite nature of Dust-Obscured Galaxies (DOGs) at z~2-3 in the   COSMOS field: II. The AGN fraction,"We present the X-ray properties of 108 Dust-Obscured Galaxies (DOGs; F$_{24 \mu m}$/F$_{R} >$ 1000) in the COSMOS field, all of which detected in at least three far-infrared bands with the Herschel Observatory. Out of the entire sample, 22 are individually detected in the hard 2-8 keV X-ray band by the Chandra COSMOS Legacy survey, allowing us to classify them as AGN. Of them, 6 (27%) are Compton Thick AGN candidates with column densities N$_{H}$$>$10$^{24}$ cm$^{-2}$ while 15 are moderately obscured AGNs with 10$^{22}$ $<$ N$_{H}$ $<$ 10$^{24}$ cm$^{-2}$. Additionally, we estimate AGN contributions to the IR luminosity (8-1000$\mu$m rest-frame) greater than 20% for 19 DOGs based on SED decomposition using Spitzer/MIPS 24$\mu$m and the five Herschel bands (100-500 $\mu$m). Only 7 of these are detected in X-rays individually. We performed a X-ray stacking analysis for the 86 undetected DOGs. We find that the AGN fraction in DOGs increases with 24$\mu$m flux and that it is higher than that of the general 24$\mu$m population. However, no significant difference is found when considering only X-ray detections. This strongly motivates the combined use of X-ray and far-IR surveys to successfully probe a wider population of AGNs, particularly for the most obscured ones."
2690,10609,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04277v1,Arov--Krein entropy functionals and indefinite interpolation problems,We generalize the notion of the Arov-Krein entropy functional for the case of generalized Nevanlinna functions and obtain a representation of these functionals on solutions of indefinite interpolation problems. The case of indefinite Caratheodory problem and application to Szeg\H{o} limit formula for this nonclassical case are considered in greater detail.
2692,10613,2019-04-08,2019-04-08,physics,3.0,1.0,1904.04281v1,3D Local Features for Direct Pairwise Registration,"We present a novel, data driven approach for solving the problem of registration of two point cloud scans. Our approach is direct in the sense that a single pair of corresponding local patches already provides the necessary transformation cue for the global registration. To achieve that, we first endow the state of the art PPF-FoldNet auto-encoder (AE) with a pose-variant sibling, where the discrepancy between the two leads to pose-specific descriptors. Based upon this, we introduce RelativeNet, a relative pose estimation network to assign correspondence-specific orientations to the keypoints, eliminating any local reference frame computations. Finally, we devise a simple yet effective hypothesize-and-verify algorithm to quickly use the predictions and align two point sets. Our extensive quantitative and qualitative experiments suggests that our approach outperforms the state of the art in challenging real datasets of pairwise registration and that augmenting the keypoints with local pose information leads to better generalization and a dramatic speed-up."
2708,10660,2019-04-08,2019-04-08,physics,4.0,1.0,1904.04325v2,Uphill migration in coupled driven particle systems,"In particle systems subject to a nonuniform drive, particle migration is observed from the driven to the non--driven region and vice--versa, depending on details of the hopping dynamics, leading to apparent violations of Fick's law and of steady--state thermodynamics. We propose and discuss a very basic model in the framework of independent random walkers on a pair of rings, one of which features biased hopping rates, in which this phenomenon is observed and fully explained."
2717,10685,2019-04-08,2019-04-08,physics,1.0,1.0,1904.04352v1,Hierarchical Deep Feature Learning For Decoding Imagined Speech From EEG,"We propose a mixed deep neural network strategy, incorporating parallel combination of Convolutional (CNN) and Recurrent Neural Networks (RNN), cascaded with deep autoencoders and fully connected layers towards automatic identification of imagined speech from EEG. Instead of utilizing raw EEG channel data, we compute the joint variability of the channels in the form of a covariance matrix that provide spatio-temporal representations of EEG. The networks are trained hierarchically and the extracted features are passed onto the next network hierarchy until the final classification. Using a publicly available EEG based speech imagery database we demonstrate around 23.45% improvement of accuracy over the baseline method. Our approach demonstrates the promise of a mixed DNN approach for complex spatial-temporal classification problems."
2718,10696,2019-04-08,2019-04-08,physics,2.0,1.0,1904.04363v1,A Robust Visual System for Small Target Motion Detection Against   Cluttered Moving Backgrounds,"Monitoring small objects against cluttered moving backgrounds is a huge challenge to future robotic vision systems. As a source of inspiration, insects are quite apt at searching for mates and tracking prey -- which always appear as small dim speckles in the visual field. The exquisite sensitivity of insects for small target motion, as revealed recently, is coming from a class of specific neurons called small target motion detectors (STMDs). Although a few STMD-based models have been proposed, these existing models only use motion information for small target detection and cannot discriminate small targets from small-target-like background features (named as fake features). To address this problem, this paper proposes a novel visual system model (STMD+) for small target motion detection, which is composed of four subsystems -- ommatidia, motion pathway, contrast pathway and mushroom body. Compared to existing STMD-based models, the additional contrast pathway extracts directional contrast from luminance signals to eliminate false positive background motion. The directional contrast and the extracted motion information by the motion pathway are integrated in the mushroom body for small target discrimination. Extensive experiments showed the significant and consistent improvements of the proposed visual system model over existing STMD-based models against fake features."
2725,10715,2019-04-08,2019-04-08,physics,3.0,2.0,1904.04381v2,Hierarchical Temporal Convolutional Networks for Dynamic Recommender   Systems,"Recommender systems that can learn from cross-session data to dynamically predict the next item a user will choose are crucial for online platforms. However, existing approaches often use out-of-the-box sequence models which are limited by speed and memory consumption, are often infeasible for production environments, and usually do not incorporate cross-session information, which is crucial for effective recommendations. Here we propose Hierarchical Temporal Convolutional Networks (HierTCN), a hierarchical deep learning architecture that makes dynamic recommendations based on users' sequential multi-session interactions with items. HierTCN is designed for web-scale systems with billions of items and hundreds of millions of users. It consists of two levels of models: The high-level model uses Recurrent Neural Networks (RNN) to aggregate users' evolving long-term interests across different sessions, while the low-level model is implemented with Temporal Convolutional Networks (TCN), utilizing both the long-term interests and the short-term interactions within sessions to predict the next interaction. We conduct extensive experiments on a public XING dataset and a large-scale Pinterest dataset that contains 6 million users with 1.6 billion interactions. We show that HierTCN is 2.5x faster than RNN-based models and uses 90% less data memory compared to TCN-based models. We further develop an effective data caching scheme and a queue-based mini-batch generator, enabling our model to be trained within 24 hours on a single GPU. Our model consistently outperforms state-of-the-art dynamic recommendation methods, with up to 18% improvement in recall and 10% in mean reciprocal rank."
2732,10734,2019-04-08,2019-04-08,physics,8.0,1.0,1904.04398v1,Disfluencies and Human Speech Transcription Errors,"This paper explores contexts associated with errors in transcrip-tion of spontaneous speech, shedding light on human perceptionof disfluencies and other conversational speech phenomena. Anew version of the Switchboard corpus is provided with disfluency annotations for careful speech transcripts, together with results showing the impact of transcription errors on evaluation of automatic disfluency detection."
2742,10795,2019-04-09,2019-04-09,physics,2.0,1.0,1904.04456v1,Ionization potential depression and ionization balance in dense plasmas,"Theoretical modelling of ionization potential depression and the related ionization equilibrium in dense plasmas, in particular in warm/hot dense matter, represents a significant challenge due to ionic coupling and electronic degeneracy effects. We present a quantum statistical model based on dynamical structure factors for the ionization potential depression, where quantum exchange and dynamical correlation effects in plasma environments are consistently and systematically taken into account in terms of the concept of self-energy. Under the condition of local thermodynamic equilibrium, the charge state distribution (or ionic fraction) characterized by the ionization balance is obtained by solving the coupled Saha equations. Calculations for the ionization potential depression of different chemical elements are performed with the electronic and ionic structure factors. The ionic structure factors are determined by solving the Ornstein-Zernike equation in combination with the hypernetted-chain equation. As a further application of our approach, we present results for the charge state distribution of aluminium plasmas at several temperatures and densities."
2743,10800,2019-04-09,2019-04-09,physics,2.0,1.0,1904.05157v1,A spacetime ontology compatible with quantum mechanics,"The ontology proposed in this paper is aimed at demonstrating that it is possible to understand the counter-intuitive predictions of quantum mechanics while still retaining much of the framework underlying classical physics, the implication being that it is better to avoid wandering into unnecessarily speculative realms without the support of conclusive evidence. In particular, it is argued that it is possible to interpret quantum mechanics as simply describing an external world consisting of familiar physical entities (e.g., particles or fields) residing in classical 3-dimensional space (not configuration space) with Lorentz covariance maintained."
2751,10833,2019-04-09,2019-04-09,physics,2.0,1.0,1904.04489v1,Stellar activity and rotation of the planet host Kepler-17 from   long-term space-borne photometry,"The study of young Sun-like stars is of fundamental importance to understand the magnetic activity and rotational evolution of the Sun. Space-borne photometry by the Kepler telescope provides unprecedented datasets to investigate these phenomena in Sun-like stars. We present a new analysis of the entire Kepler photometric time series of the moderately young Sun-like star Kepler-17 that is accompanied by a transiting hot Jupiter. We applied a maximum-entropy spot model to the long-cadence out-of-transit photometry of the target to derive maps of the starspot filling factor versus the longitude and the time. These maps are compared to the spots occulted during transits to validate our reconstruction and derive information on the latitudes of the starspots. We find two main active longitudes on the photosphere of Kepler-17, one of which has a lifetime of at least $\sim 1400$ days, although with a varying level of activity. The latitudinal differential rotation is of solar type, that is, with the equator rotating faster than the poles. We estimate a minimum relative amplitude $\Delta \Omega/ \Omega$ between $\sim 0.08 \pm 0.05$ and $0.14 \pm 0.05$, our determination being affected by the finite lifetime of individual starspots and depending on the adopted spot model parameters. We find marginal evidence of a short-term intermittent activity cycle of $\sim 48$ days and an indication of a longer cycle of $400-600$ days characterized by an equatorward migration of the mean latitude of the spots as in the Sun. The rotation of Kepler-17 is likely to be significantly affected by the tides raised by its massive close-by planet. We confirm the reliability of maximum-entropy spot models to map starspots in young active stars and characterize the activity and differential rotation of this young Sun-like planetary host."
2753,10837,2019-04-09,2019-04-09,physics,3.0,2.0,1904.04493v4,Weyl Symmetry Inspired Inflation and Dark Matter,"Motivated by the Weyl scaling gauge symmetry, we present a theoretical framework to explain cosmic inflation and dark matter simultaneously. This symmetry has been resurrected in recent attempts to formulate the gauge theory of gravity. We show the inspired inflation model is well consistent with current observations and will be probed further by future experiments. Furthermore, we clarify and prove the stability of Weyl gauge boson in the general theory with multiple scalars. We show the massive Weyl gauge boson can be a dark matter candidate and give the correct relic abundance."
2763,10878,2019-04-09,2019-04-09,physics,3.0,1.0,1904.04826v1,Submillimeter and Far-Infrared Polarimetric Observations of Magnetic   Fields in Star-Forming Regions,"Observations of star-forming regions by the current and upcoming generation of submillimeter polarimeters will shed new light on the evolution of magnetic fields over the cloud-to-core size scales involved in the early stages of the star formation process. Recent wide-area and high-sensitivity polarization observations have drawn attention to the challenges of modeling magnetic field structure of star forming regions, due to variations in dust polarization properties in the interstellar medium. However, these observations also for the first time provide sufficient information to begin to break the degeneracy between polarization efficiency variations and depolarization due to magnetic field sub-beam structure, and thus to accurately infer magnetic field properties in the star-forming interstellar medium. In this article we discuss submillimeter and far-infrared polarization observations of star-forming regions made with single-dish instruments. We summarize past, present and forthcoming single-dish instrumentation, and discuss techniques which have been developed or proposed to interpret polarization observations, both in order to infer the morphology and strength of the magnetic field, and in order to determine the environments in which dust polarization observations reliably trace the magnetic field. We review recent polarimetric observations of molecular clouds, filaments, and starless and protostellar cores, and discuss how the application of the full range of modern analysis techniques to recent observations will advance our understanding of the role played by the magnetic field in the early stages of star formation."
2769,10897,2019-04-09,2019-04-09,physics,1.0,1.0,1904.04545v1,"Optical Current, Momentum and Angular Momentum in Anisotropic Materials   exposed to Detailed Balance","This work investigates the theory behind a thought experiment that intends to measure momentum and angular momentum of matter exposed to `isotropic radiative noise'. Radiative momentum has been a controversial subject for decades. The momentum of isotropic noise is intuitively expected to be zero. We formulate the general features of the isotropic noise such as equipartition of energy and the vanishing of integrated Poynting vector. We demonstrate that in bi-anisotropic materials, a finite radiative momentum persists that performs work on the matter when its parameters change slowly. We find that Faraday rotation in the scattering of the radiative noise induces an angular momentum along the applied external magnetic field. Also, a Poynting vector starts circulating around the matter, raising the question whether it really describes the energy flow. These effects are small and hard to measure in any real experiment. Yet, they are surprising predictions of the classical, macroscopic Maxwell equations, and make contact with the outcome of recent QED calculations done for the quantum vacuum."
2774,10906,2019-04-09,2019-04-09,physics,2.0,1.0,1904.05206v1,MolMod: An open access database of force fields for molecular   simulations of fluids,"The MolMod database is presented, which is openly accessible at http://molmod.boltzmann-zuse.de/ and contains presently intermolecular force fields for over 150 pure fluids. It was developed and is maintained by the Boltzmann-Zuse Society for Computational Molecular Engineering (BZS). The set of molecular models in the MolMod database provides a coherent framework for molecular simulations of fluids. The molecular models in the MolMod database consist of Lennard-Jones interaction sites, point charges, and point dipoles and quadrupoles, which can be equivalently represented by multiple point charges. The force fields can be exported as input files for the simulation programs ms2 and ls1 mardyn, Gromacs, and LAMMPS. To characterise the semantics associated with the numerical database content, a force-field nomenclature is introduced that can also be used in other contexts in materials modelling at the atomistic and mesoscopic levels. The models of the pure substances that are included in the data base were generally optimised such as to yield good representations of experimental data of the vapour-liquid equilibrium with a focus on the vapour pressure and the saturated liquid density. In many cases, the models also yield good predictions of caloric, transport, and interfacial properties of the pure fluids. For all models, references to the original works in which they were developed are provided. The models can be used straightforwardly for predictions of properties of fluid mixtures using established combination rules. Input errors are a major source of errors in simulations. The MolMod database contributes to reducing such errors."
2778,10927,2019-04-09,2019-04-09,physics,2.0,1.0,1906.11122v1,Physics-Informed Echo State Networks for Chaotic Systems Forecasting,"We propose a physics-informed Echo State Network (ESN) to predict the evolution of chaotic systems. Compared to conventional ESNs, the physics-informed ESNs are trained to solve supervised learning tasks while ensuring that their predictions do not violate physical laws. This is achieved by introducing an additional loss function during the training of the ESNs, which penalizes non-physical predictions without the need of any additional training data. This approach is demonstrated on a chaotic Lorenz system, where the physics-informed ESNs improve the predictability horizon by about two Lyapunov times as compared to conventional ESNs. The proposed framework shows the potential of using machine learning combined with prior physical knowledge to improve the time-accurate prediction of chaotic dynamical systems."
2784,10936,2019-04-09,2019-04-09,physics,4.0,1.0,1904.04579v2,A Concept-Value Network as a Brain Model,"This paper suggests a statistical framework for describing the relations between the physical and conceptual entities of a brain-like model. In particular, features and concept instances are put into context. This may help with understanding or implementing a similar model. The paper suggests that features are in fact the wiring. With this idea, the actual length of the connection is important, because it is related to firing rates and neuron synchronization. The paper then suggests that concepts are neuron groups that link features and concept instances are the signals from those groups. Therefore, features become the static framework of the interconnected neural system and concepts are combinations of these, as determined by the external stimulus and the neural synaptic strengths. Along with this statistical model, it is possible to propose a simplified design for a neuron, based on an action potential and variable output signal. A strong comparison with Hebbian theory is then proposed, with some test results to support the theory."
2799,10981,2019-04-09,2019-04-09,physics,6.0,2.0,1904.08504v1,Exploring Uncertainty Measures for Image-Caption Embedding-and-Retrieval   Task,"With the wide development of black-box machine learning algorithms, particularly deep neural network (DNN), the practical demand for the reliability assessment is rapidly rising. On the basis of the concept that `Bayesian deep learning knows what it does not know,' the uncertainty of DNN outputs has been investigated as a reliability measure for the classification and regression tasks. However, in the image-caption retrieval task, well-known samples are not always easy-to-retrieve samples. This study investigates two aspects of image-caption embedding-and-retrieval systems. On one hand, we quantify feature uncertainty by considering image-caption embedding as a regression task, and use it for model averaging, which can improve the retrieval performance. On the other hand, we further quantify posterior uncertainty by considering the retrieval as a classification task, and use it as a reliability measure, which can greatly improve the retrieval performance by rejecting uncertain queries. The consistent performance of two uncertainty measures is observed with different datasets (MS COCO and Flickr30k), different deep learning architectures (dropout and batch normalization), and different similarity functions."
2806,11004,2019-04-09,2019-04-09,physics,4.0,1.0,1904.04650v1,Gradient-Free Multi-Agent Nonconvex Nonsmooth Optimization,"In this paper, we consider the problem of minimizing the sum of nonconvex and possibly nonsmooth functions over a connected multi-agent network, where the agents have partial knowledge about the global cost function and can only access the zeroth-order information (i.e., the functional values) of their local cost functions. We propose and analyze a distributed primal-dual gradient-free algorithm for this challenging problem. We show that by appropriately choosing the parameters, the proposed algorithm converges to the set of first order stationary solutions with a provable global sublinear convergence rate. Numerical experiments demonstrate the effectiveness of our proposed method for optimizing nonconvex and nonsmooth problems over a network."
2821,11064,2019-04-09,2019-04-09,physics,4.0,1.0,1904.04719v1,"Parafermions, induced edge states and domain walls in the fractional   quantum Hall effect spin transitions","Search for parafermions and Fibonacci anyons, which are excitations obeying non-Abelian statistics, is driven both by the quest for deeper understanding of nature and prospects for universal topological quantum computation. However, physical systems that can host these exotic excitations are rare and hard to realize in experiments. Here we study the domain walls and the edge states formed in spin transitions in the fractional quantum Hall effect. Effective theory approach and exact diagonalization in a disk and torus geometries proves the existence of the counter-propagating edge modes with opposite spin polarizations at the boundary between the two neighboring regions of the two-dimensional electron liquid in spin-polarized and spin-unpolarized phases. By analytical and numerical analysis, we argue that these systems can host parafermions when coupled to an s-wave superconductor and are experimentally feasible. We investigate settings based on $\nu=\frac{2}{3}$, $\nu=\frac{4}{3}$ and $\nu=\frac{5}{3}$ spin transitions and analyze spin-flipping interactions that hybridize counter-propagating modes. Finally, we discuss spin-orbit interactions of composite fermions."
2823,11072,2019-04-09,2019-04-09,physics,2.0,1.0,1904.04726v1,Strong equilibration of Landau levels edge-states at the graphene edge,"We present the results of an experimental study of the interaction of quantized Landau level (LL) edge-states at the physical edge of graphene by using a graphene pn junction device with a ring-shaped geometry for the channel. The unique device geometry allows the interactions between edge-states to be probed at both electrostatic edges defined by pn junctions and at the graphene physical edge. Measurements show that while the lowest LL edge-state is decoupled from the other LLs along the electrostatic junction, all the edge-states strongly equilibrate at the graphene physical edge despite the relatively short distance that they travel along the edge in our device. These findings are fundamental for the engineering of future high-performance graphene field-effect transistors based upon electron optics."
2827,11083,2019-04-09,2019-04-09,physics,1.0,2.0,1904.04737v2,"Some like it hot: $R^2$ heals Higgs inflation, but does not cool it","Strong coupling in Higgs inflation at high energies hinders a joint description of inflation, reheating and low-energy dynamics. The situation may be improved with a proper UV completion of the model. A well-defined self-consistent way is to introduce an $R^2$-term into the action. In this modified model the strong coupling scale returns back to the Planck scale, which justifies the use of the perturbative methods in studies of the model dynamics after inflation. We investigate the reheating of the post-inflationary Universe, which involves two highly anharmonic oscillators strongly interacting with each other: homogeneous Higgs field and scalaron. We observe that in interesting regions of model parameter space these oscillations make longitudinal components of the weak gauge bosons tachyonic, triggering instant preheating at timescales much shorter than the Hubble time. The weak gauge bosons are heavy and decay promptly into light Standard Model particles, ensuring the onset of the radiation domination era right after inflation."
2829,11117,2019-04-09,2019-04-09,physics,6.0,2.0,1904.04771v1,Sizing Storage for Reliable Renewable Integration: A Large Deviations   Approach,"The inherent intermittency of wind and solar generation presents a significant challenge as we seek to increase the penetration of renewable generation in the power grid. Increasingly, energy storage is being deployed alongside renewable generation to counter this intermittency. However, a formal characterization of the reliability of renewable generators bundled with storage is lacking in the literature. The present paper seeks to fill this gap. We use a Markov modulated fluid queue to model the loss of load probability (LOLP) associated with a renewable generator bundled with a battery, serving an uncertain demand process. Further, we characterize the asymptotic behavior of the LOLP as the battery size scales to infinity. Our results shed light on the fundamental limits of reliability achievable, and also guide the sizing of the storage required in order to meet a given reliability target. Finally, we present a case study using real-world wind power data to demonstrate the applicability of our results in practice."
2831,11120,2019-04-09,2019-04-09,physics,2.0,1.0,1904.04774v3,Drift Estimation for Stochastic Reaction-Diffusion Systems,A parameter estimation problem for a class of semilinear stochastic evolution equations is considered. Conditions for consistency and asymptotic normality are given in terms of growth and continuity properties of the nonlinear part. Emphasis is put on the case of stochastic reaction-diffusion systems. Robustness results for statistical inference under model uncertainty are provided.
2836,11141,2019-04-09,2019-04-09,physics,1.0,2.0,1904.04793v2,Bayesian averaging of computer models with domain discrepancies: a   nuclear physics perspective,"This article studies Bayesian model averaging (BMA) in the context of competing expensive computer models in a typical nuclear physics setup. While it is well known that BMA accounts for the additional uncertainty of the model itself, we show that it also decreases the posterior variance of the prediction errors via an explicit decomposition. We extend BMA to the situation where the competing models are defined on non-identical study regions. Any model's local forecasting difficulty is offset by predictions obtained from the average model, thus extending individual models to the full domain. We illustrate our methodology via pedagogical simulations and applications to forecasting nuclear observables, which exhibit convincing improvements in both the BMA prediction error and empirical coverage probabilities."
2838,11154,2019-04-09,2019-04-09,physics,1.0,1.0,1904.04805v2,Embodied Neuromorphic Vision with Event-Driven Random Backpropagation,"Spike-based communication between biological neurons is sparse and unreliable. This enables the brain to process visual information from the eyes efficiently. Taking inspiration from biology, artificial spiking neural networks coupled with silicon retinas attempt to model these computations. Recent findings in machine learning allowed the derivation of a family of powerful synaptic plasticity rules approximating backpropagation for spiking networks. Are these rules capable of processing real-world visual sensory data? In this paper, we evaluate the performance of Event-Driven Random Back-Propagation (eRBP) at learning representations from event streams provided by a Dynamic Vision Sensor (DVS). First, we show that eRBP matches state-of-the-art performance on the DvsGesture dataset with the addition of a simple covert attention mechanism. By remapping visual receptive fields relatively to the center of the motion, this attention mechanism provides translation invariance at low computational cost compared to convolutions. Second, we successfully integrate eRBP in a real robotic setup, where a robotic arm grasps objects according to detected visual affordances. In this setup, visual information is actively sensed by a DVS mounted on a robotic head performing microsaccadic eye movements. We show that our method classifies affordances within 100ms after microsaccade onset, which is comparable to human performance reported in behavioral study. Our results suggest that advances in neuromorphic technology and plasticity rules enable the development of autonomous robots operating at high speed and low energy consumption."
2842,11169,2019-04-09,2019-04-09,physics,3.0,1.0,1904.04819v2,Practical self-testing quantum random number generator based on an   energy bound,"We present a scheme for a self-testing quantum random number generator. Compared to the fully device-independent model, our scheme requires an extra natural assumption, namely that the mean energy per signal is bounded. The scheme is self-testing, as it allows the user to verify in real-time the correct functioning of the setup, hence guaranteeing the continuous generation of certified random bits. Based on a prepare-and-measure setup, our scheme is practical, and we implement it using only off-the-shelf optical components. The randomness generation rate is 1.25 Mbits/s, comparable to commercial solutions. Overall, we believe that this scheme achieves a promising trade-off between the required assumptions, ease-of-implementation and performance."
2844,11171,2019-04-09,2019-04-09,physics,3.0,1.0,1904.04821v2,Prime Sample Attention in Object Detection,"It is a common paradigm in object detection frameworks to treat all samples equally and target at maximizing the performance on average. In this work, we revisit this paradigm through a careful study on how different samples contribute to the overall performance measured in terms of mAP. Our study suggests that the samples in each mini-batch are neither independent nor equally important, and therefore a better classifier on average does not necessarily mean higher mAP. Motivated by this study, we propose the notion of Prime Samples, those that play a key role in driving the detection performance. We further develop a simple yet effective sampling and learning strategy called PrIme Sample Attention (PISA) that directs the focus of the training process towards such samples. Our experiments demonstrate that it is often more effective to focus on prime samples than hard samples when training a detector. Particularly, On the MSCOCO dataset, PISA outperforms the random sampling baseline and hard mining schemes, e.g., OHEM and Focal Loss, consistently by around 2% on both single-stage and two-stage detectors, even with a strong backbone ResNeXt-101."
